archive_path,source_path,tensor_index,tensor_name,role,dtype,shape,source_tensor_bytes,archive_record_bytes,program_bytes,record_framing_bytes,saved_bytes_vs_record,source_over_record_ratio,record_percent_of_source,program_selection,root_operator,node_count,max_depth,literal_count,literal_semantic_storage_bytes,literal_body_bytes,operator_counts,operator_exclusive_bytes,literal_codec_counts,literal_codec_body_bytes,literal_codec_semantic_bytes,literal_codec_payload_bytes,stored_xxh3_64_le_bytes_hex
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,10,model.layers.1.input_layernorm.weight,norm,BF16,4096,8192,4519,4464,55,3673,1.81279044036,55.1635742188,synthesized,merge.fields,3,2,2,12288,4443,"{""literal"":2,""merge.fields"":1}","{""literal"":4455,""merge.fields"":4}","{""bitpack"":1,""huffman"":1}","{""bitpack"":2050,""huffman"":2393}","{""bitpack"":4096,""huffman"":8192}","{""bitpack"":2048,""huffman"":2060}",33255fae79e9cf88
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,11,model.layers.1.mlp.down_proj.weight,mlp,BF16,4096x14336,117440512,77087664,77087605,59,40352848,1.52346699726,65.6397547041,synthesized,merge.fields,3,2,2,176160768,77087576,"{""literal"":2,""merge.fields"":1}","{""literal"":77087596,""merge.fields"":4}","{""rans"":2}","{""rans"":77087576}","{""rans"":176160768}","{""rans"":77083966}",d8e906a71e340ea5
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,12,model.layers.1.mlp.gate_proj.weight,mlp,BF16,14336x4096,117440512,77138790,77138731,59,40301722,1.52245727474,65.6832882336,synthesized,merge.fields,3,2,2,176160768,77138702,"{""literal"":2,""merge.fields"":1}","{""literal"":77138722,""merge.fields"":4}","{""rans"":2}","{""rans"":77138702}","{""rans"":176160768}","{""rans"":77135140}",692f4f190d2c74e2
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,13,model.layers.1.mlp.up_proj.weight,mlp,BF16,14336x4096,117440512,77121062,77121005,57,40319450,1.52280724557,65.6681929316,synthesized,merge.fields,3,2,2,176160768,77120976,"{""literal"":2,""merge.fields"":1}","{""literal"":77120996,""merge.fields"":4}","{""rans"":2}","{""rans"":77120976}","{""rans"":176160768}","{""rans"":77117382}",84621a62aa16648c
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,14,model.layers.1.post_attention_layernorm.weight,norm,BF16,4096,8192,3241,3177,64,4951,2.52761493366,39.5629882812,synthesized,merge.fields,3,2,2,12288,3156,"{""literal"":2,""merge.fields"":1}","{""literal"":3168,""merge.fields"":4}","{""huffman"":2}","{""huffman"":3156}","{""huffman"":12288}","{""huffman"":2820}",05b1826d6844ab9c
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,15,model.layers.1.self_attn.k_proj.weight,attention,BF16,1024x4096,8388608,5671188,5671126,62,2717420,1.47916239067,67.6058292389,synthesized,merge.fields,3,2,2,12582912,5671098,"{""literal"":2,""merge.fields"":1}","{""literal"":5671117,""merge.fields"":4}","{""rans"":2}","{""rans"":5671098}","{""rans"":12582912}","{""rans"":5668072}",ab968161579c3244
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,16,model.layers.1.self_attn.o_proj.weight,attention,BF16,4096x4096,33554432,22131315,22131253,62,11423117,1.51615175149,65.9564584494,synthesized,merge.fields,3,2,2,50331648,22131224,"{""literal"":2,""merge.fields"":1}","{""literal"":22131244,""merge.fields"":4}","{""rans"":2}","{""rans"":22131224}","{""rans"":50331648}","{""rans"":22127758}",63413989d10a4086
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,17,model.layers.1.self_attn.q_proj.weight,attention,BF16,4096x4096,33554432,22592650,22592588,62,10961782,1.48519239664,67.3313438892,synthesized,merge.fields,3,2,2,50331648,22592559,"{""literal"":2,""merge.fields"":1}","{""literal"":22592579,""merge.fields"":4}","{""rans"":2}","{""rans"":22592559}","{""rans"":50331648}","{""rans"":22589085}",99654169a169f697
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,18,model.layers.1.self_attn.v_proj.weight,attention,BF16,1024x4096,8388608,5552983,5552921,62,2835625,1.51064896111,66.1967158318,synthesized,merge.fields,3,2,2,12582912,5552893,"{""literal"":2,""merge.fields"":1}","{""literal"":5552912,""merge.fields"":4}","{""rans"":2}","{""rans"":5552893}","{""rans"":12582912}","{""rans"":5549979}",c25c5ac09a8f36f3
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,19,model.layers.2.input_layernorm.weight,norm,BF16,4096,8192,3788,3733,55,4404,2.1626187962,46.240234375,synthesized,merge.fields,3,2,2,12288,3712,"{""literal"":2,""merge.fields"":1}","{""literal"":3724,""merge.fields"":4}","{""bitpack"":1,""huffman"":1}","{""bitpack"":2050,""huffman"":1662}","{""bitpack"":4096,""huffman"":8192}","{""bitpack"":2048,""huffman"":1489}",81957455b171cc7f
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,20,model.layers.2.mlp.down_proj.weight,mlp,BF16,4096x14336,117440512,77057164,77057105,59,40383348,1.52407000081,65.6137841088,synthesized,merge.fields,3,2,2,176160768,77057076,"{""literal"":2,""merge.fields"":1}","{""literal"":77057096,""merge.fields"":4}","{""rans"":2}","{""rans"":77057076}","{""rans"":176160768}","{""rans"":77053490}",6da3fe43732e5d5a
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,21,model.layers.2.mlp.gate_proj.weight,mlp,BF16,14336x4096,117440512,77132264,77132205,59,40308248,1.52258608667,65.6777313777,synthesized,merge.fields,3,2,2,176160768,77132176,"{""literal"":2,""merge.fields"":1}","{""literal"":77132196,""merge.fields"":4}","{""rans"":2}","{""rans"":77132176}","{""rans"":176160768}","{""rans"":77128678}",7ada23e635e98629
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,22,model.layers.2.mlp.up_proj.weight,mlp,BF16,14336x4096,117440512,77103276,77103219,57,40337236,1.52315852312,65.6530482428,synthesized,merge.fields,3,2,2,176160768,77103190,"{""literal"":2,""merge.fields"":1}","{""literal"":77103210,""merge.fields"":4}","{""rans"":2}","{""rans"":77103190}","{""rans"":176160768}","{""rans"":77099700}",03b82428a6272df4
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,23,model.layers.2.post_attention_layernorm.weight,norm,BF16,4096,8192,3303,3239,64,4889,2.48016954284,40.3198242188,synthesized,merge.fields,3,2,2,12288,3218,"{""literal"":2,""merge.fields"":1}","{""literal"":3230,""merge.fields"":4}","{""bitpack"":1,""huffman"":1}","{""bitpack"":2050,""huffman"":1168}","{""bitpack"":4096,""huffman"":8192}","{""bitpack"":2048,""huffman"":990}",0c9e5915293f68f6
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,24,model.layers.2.self_attn.k_proj.weight,attention,BF16,1024x4096,8388608,5615147,5615085,62,2773461,1.49392491417,66.9377684593,synthesized,merge.fields,3,2,2,12582912,5615057,"{""literal"":2,""merge.fields"":1}","{""literal"":5615076,""merge.fields"":4}","{""rans"":2}","{""rans"":5615057}","{""rans"":12582912}","{""rans"":5612071}",e56c29e882f21fa1
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,25,model.layers.2.self_attn.o_proj.weight,attention,BF16,4096x4096,33554432,22159093,22159031,62,11395339,1.51425114737,66.0392433405,synthesized,merge.fields,3,2,2,50331648,22159002,"{""literal"":2,""merge.fields"":1}","{""literal"":22159022,""merge.fields"":4}","{""rans"":2}","{""rans"":22159002}","{""rans"":50331648}","{""rans"":22155608}",898e3a8be2d359e1
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,26,model.layers.2.self_attn.q_proj.weight,attention,BF16,4096x4096,33554432,22351094,22351032,62,11203338,1.50124338433,66.6114509106,synthesized,merge.fields,3,2,2,50331648,22351003,"{""literal"":2,""merge.fields"":1}","{""literal"":22351023,""merge.fields"":4}","{""rans"":2}","{""rans"":22351003}","{""rans"":50331648}","{""rans"":22347713}",19c428cccf7940fe
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,27,model.layers.2.self_attn.v_proj.weight,attention,BF16,1024x4096,8388608,5544440,5544378,62,2844168,1.51297660359,66.0948753357,synthesized,merge.fields,3,2,2,12582912,5544350,"{""literal"":2,""merge.fields"":1}","{""literal"":5544369,""merge.fields"":4}","{""rans"":2}","{""rans"":5544350}","{""rans"":12582912}","{""rans"":5541484}",84ee806ad4fd71f9
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,28,model.layers.3.input_layernorm.weight,norm,BF16,4096,8192,3271,3216,55,4921,2.50443289514,39.9291992188,synthesized,merge.fields,3,2,2,12288,3195,"{""literal"":2,""merge.fields"":1}","{""literal"":3207,""merge.fields"":4}","{""bitpack"":1,""huffman"":1}","{""bitpack"":2050,""huffman"":1145}","{""bitpack"":4096,""huffman"":8192}","{""bitpack"":2048,""huffman"":1037}",d5205040f5ae258c
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,29,model.layers.3.mlp.down_proj.weight,mlp,BF16,4096x14336,117440512,77085582,77085523,59,40354930,1.52350814449,65.6379818916,synthesized,merge.fields,3,2,2,176160768,77085494,"{""literal"":2,""merge.fields"":1}","{""literal"":77085514,""merge.fields"":4}","{""rans"":2}","{""rans"":77085494}","{""rans"":176160768}","{""rans"":77081892}",8b20d25379d61934
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,30,model.layers.3.mlp.gate_proj.weight,mlp,BF16,14336x4096,117440512,77191944,77191885,59,40248568,1.52140891801,65.7285485949,synthesized,merge.fields,3,2,2,176160768,77191856,"{""literal"":2,""merge.fields"":1}","{""literal"":77191876,""merge.fields"":4}","{""rans"":2}","{""rans"":77191856}","{""rans"":176160768}","{""rans"":77188238}",501e81510cd87c30
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,31,model.layers.3.mlp.up_proj.weight,mlp,BF16,14336x4096,117440512,77074723,77074666,57,40365789,1.52372279041,65.6287355082,synthesized,merge.fields,3,2,2,176160768,77074637,"{""literal"":2,""merge.fields"":1}","{""literal"":77074657,""merge.fields"":4}","{""rans"":2}","{""rans"":77074637}","{""rans"":176160768}","{""rans"":77071219}",485e15f5008108f1
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,32,model.layers.3.post_attention_layernorm.weight,norm,BF16,4096,8192,3154,3090,64,5038,2.59733671528,38.5009765625,synthesized,merge.fields,3,2,2,12288,3069,"{""literal"":2,""merge.fields"":1}","{""literal"":3081,""merge.fields"":4}","{""bitpack"":1,""rans"":1}","{""bitpack"":2050,""rans"":1019}","{""bitpack"":4096,""rans"":8192}","{""bitpack"":2048,""rans"":766}",cddb9b2092ee9161
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,33,model.layers.3.self_attn.k_proj.weight,attention,BF16,1024x4096,8388608,5583004,5582942,62,2805604,1.50252588033,66.5545940399,synthesized,merge.fields,3,2,2,12582912,5582914,"{""literal"":2,""merge.fields"":1}","{""literal"":5582933,""merge.fields"":4}","{""rans"":2}","{""rans"":5582914}","{""rans"":12582912}","{""rans"":5580008}",d171fac75cbee8dc
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,34,model.layers.3.self_attn.o_proj.weight,attention,BF16,4096x4096,33554432,22040003,22039941,62,11514429,1.5224331866,65.6843274832,synthesized,merge.fields,3,2,2,50331648,22039912,"{""literal"":2,""merge.fields"":1}","{""literal"":22039932,""merge.fields"":4}","{""rans"":2}","{""rans"":22039912}","{""rans"":50331648}","{""rans"":22036582}",2def2ce986e49b5e
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,35,model.layers.3.self_attn.q_proj.weight,attention,BF16,4096x4096,33554432,22252215,22252153,62,11302217,1.50791424584,66.316768527,synthesized,merge.fields,3,2,2,50331648,22252124,"{""literal"":2,""merge.fields"":1}","{""literal"":22252144,""merge.fields"":4}","{""rans"":2}","{""rans"":22252124}","{""rans"":50331648}","{""rans"":22248962}",1170ff0329b3d96e
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,36,model.layers.3.self_attn.v_proj.weight,attention,BF16,1024x4096,8388608,5524459,5524397,62,2864149,1.5184487748,65.8566832542,synthesized,merge.fields,3,2,2,12582912,5524369,"{""literal"":2,""merge.fields"":1}","{""literal"":5524388,""merge.fields"":4}","{""rans"":2}","{""rans"":5524369}","{""rans"":12582912}","{""rans"":5521471}",100eb76b55b67157
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,37,model.layers.4.input_layernorm.weight,norm,BF16,4096,8192,3396,3341,55,4796,2.41224970554,41.455078125,synthesized,merge.fields,3,2,2,12288,3320,"{""literal"":2,""merge.fields"":1}","{""literal"":3332,""merge.fields"":4}","{""bitpack"":1,""huffman"":1}","{""bitpack"":2050,""huffman"":1270}","{""bitpack"":4096,""huffman"":8192}","{""bitpack"":2048,""huffman"":1162}",8e7e7872262fd72d
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,38,model.layers.4.mlp.down_proj.weight,mlp,BF16,4096x14336,117440512,77116459,77116400,59,40324053,1.52289814033,65.6642735004,synthesized,merge.fields,3,2,2,176160768,77116371,"{""literal"":2,""merge.fields"":1}","{""literal"":77116391,""merge.fields"":4}","{""rans"":2}","{""rans"":77116371}","{""rans"":176160768}","{""rans"":77112793}",b47504254623b15c
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,39,model.layers.4.mlp.gate_proj.weight,mlp,BF16,14336x4096,117440512,77267454,77267395,59,40173058,1.51992211365,65.7928449767,synthesized,merge.fields,3,2,2,176160768,77267366,"{""literal"":2,""merge.fields"":1}","{""literal"":77267386,""merge.fields"":4}","{""rans"":2}","{""rans"":77267366}","{""rans"":176160768}","{""rans"":77263844}",04b72177e527ee9d
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,40,model.layers.4.mlp.up_proj.weight,mlp,BF16,14336x4096,117440512,77106794,77106737,57,40333718,1.52308902896,65.656043802,synthesized,merge.fields,3,2,2,176160768,77106708,"{""literal"":2,""merge.fields"":1}","{""literal"":77106728,""merge.fields"":4}","{""rans"":2}","{""rans"":77106708}","{""rans"":176160768}","{""rans"":77103170}",5e28d618bbeb327a
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,41,model.layers.4.post_attention_layernorm.weight,norm,BF16,4096,8192,2706,2642,64,5486,3.0273466371,33.0322265625,synthesized,merge.fields,3,2,2,12288,2621,"{""literal"":2,""merge.fields"":1}","{""literal"":2633,""merge.fields"":4}","{""huffman"":1,""rans"":1}","{""huffman"":1916,""rans"":705}","{""huffman"":4096,""rans"":8192}","{""huffman"":1823,""rans"":524}",1f524884a5ba1dcf
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,42,model.layers.4.self_attn.k_proj.weight,attention,BF16,1024x4096,8388608,5572709,5572647,62,2815899,1.50530164055,66.4318680763,synthesized,merge.fields,3,2,2,12582912,5572619,"{""literal"":2,""merge.fields"":1}","{""literal"":5572638,""merge.fields"":4}","{""rans"":2}","{""rans"":5572619}","{""rans"":12582912}","{""rans"":5569657}",3bc3134447a8b3ff
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,43,model.layers.4.self_attn.o_proj.weight,attention,BF16,4096x4096,33554432,22085869,22085807,62,11468563,1.51927153059,65.821018815,synthesized,merge.fields,3,2,2,50331648,22085778,"{""literal"":2,""merge.fields"":1}","{""literal"":22085798,""merge.fields"":4}","{""rans"":2}","{""rans"":22085778}","{""rans"":50331648}","{""rans"":22082432}",8253ddfcea860635
